2015-05-13	20:00:04+0	44.614827	6.520747	(-)0

Date	Time	TTF	Lat	Long	SAT´s	2D/3D	Alt	H-DOP	Temp	X	Y	
2015-05-08	00:06:00		Mortality						 11		
2015-05-08	00:06:00	30	44.5806483	 6.5003733	7	3D	  1061	1.4	 11	  0	  0
2015-05-08	00:21:00		Mortality						 11		
2015-05-08	00:21:00	30	44.5806717	 6.5003367	8	3D	  1063	1.3	 11	  0	  0
2015-05-08	05:00:00		Mortality						  9		
2015-05-08	05:00:00	38	44.5807100	 6.5003783	8	3D	  1069	1.0	  9	  0	  0
2015-05-08	05:17:00		Mortality						  9		
2015-05-08	05:17:00	30	44.5806900	 6.5002967	8	3D	  1065	1.0	  9	  0	  0


