2015-05-14	20:00:00+0	44.614827	6.520747	(-)0

Date	Time	TTF	Lat	Long	SAT´s	2D/3D	Alt	H-DOP	Temp	X	Y	
2015-05-08	06:00:00	30	44.5806850	 6.5004333	7	3D	  1072	1.2	 13	  0	  0
2015-05-08	12:00:00	45	44.5806583	 6.5003567	6	3D	  1069	1.2	 26	  0	  0
2015-05-08	18:00:00	30	44.5807067	 6.5002917	5	3D	  1037	1.4	 21	  0	  0
2015-05-08	22:36:00		Mortality						 13		
2015-05-08	22:36:00	30	44.5809217	 6.5001467	8	3D	  1030	1.0	 13	  0	  0
2015-05-09	00:00:00	30	44.5808483	 6.5003183	9	3D	  1079	1.0	 11	  0	  0
2015-05-09	06:00:00	30	44.5807150	 6.5003233	6	3D	  1081	1.5	 11	  0	  0
2015-05-09	12:00:00	30	44.5805033	 6.5003833	6	3D	  1007	1.4	 34	  0	  0


