2015-05-17	14:01:02+0	44.614827	6.521173	(-)0

Date	Time	TTF	Lat	Long	SAT´s	2D/3D	Alt	H-DOP	Temp	X	Y	
2015-05-10	18:35:00	30	44.6150067	 6.5210683	8	3D	  1014	1.0	 18	  0	  0
2015-05-11	00:00:00	51	44.6150300	 6.5211083	7	3D	  1002	1.0	 14	  0	  0
2015-05-11	06:00:00	49	44.6149083	 6.5212650	8	3D	  1006	1.0	 13	  0	  0
2015-05-11	12:00:00	74	44.6149867	 6.5211650	4	3D	  1024	2.8	 30	  0	  0
2015-05-11	18:00:00	45	44.6150667	 6.5209200	7	3D	  1012	1.0	 21	  0	  0
2015-05-12	00:00:00	44	44.6150050	 6.5212367	7	3D	  1020	1.3	 15	  0	  0
2015-05-12	06:00:00	42	44.6149833	 6.5210483	7	3D	  1000	2.2	 14	  0	  0
2015-05-12	12:00:00	75	44.6149950	 6.5211117	5	3D	  1023	1.5	 30	  0	  0


