2015-05-19	14:02:01+0	44.614827	6.521173	(-)1

Date	Time	TTF	Lat	Long	SAT´s	2D/3D	Alt	H-DOP	Temp	X	Y	
2015-05-12	18:00:00	44	44.6150567	 6.5211567	6	3D	  1041	1.2	 21	  0	  0
2015-05-13	00:00:00	43	44.6150083	 6.5211250	7	3D	  1012	1.3	 15	  0	  0
2015-05-13	06:00:00	45	44.6148767	 6.5213867	7	3D	  1022	2.3	 14	  0	  0
2015-05-13	12:00:00		GPS Time Out				     0	0.0	 30	  0	  0
2015-05-13	18:00:00	52	44.6150917	 6.5208150	6	3D	  1009	1.2	 23	  0	  0
2015-05-13	22:29:00		Mortality						 17		
2015-05-13	22:29:00	46	44.6150683	 6.5210033	8	3D	  1003	1.1	 17	  0	  0
2015-05-14	00:00:00	30	44.6149233	 6.5216217	7	3D	  1054	1.3	 17	  0	  0


