2015-05-13	08:00:02+0	44.614827	6.521173	(-)0

Date	Time	TTF	Lat	Long	SAT´s	2D/3D	Alt	H-DOP	Temp	X	Y	
2015-05-07	15:50:00	60	44.6149783	 6.5207400	6	3D	  1025	1.4	 22	  0	  0
2015-05-07	18:00:00	45	44.6149983	 6.5207000	5	3D	  1014	1.5	 19	  0	  0
2015-05-07	23:19:00		Mortality						 12		
2015-05-07	23:19:00	33	44.5806867	 6.5004083	6	3D	  1077	1.8	 12	  0	  0
2015-05-07	23:36:00		Mortality						 12		
2015-05-07	23:36:00	30	44.5807883	 6.5005000	6	3D	  1097	1.5	 11	  0	  0
2015-05-07	23:51:00		Mortality						 11		
2015-05-07	23:51:00	36	44.5807417	 6.5005933	7	3D	  1113	1.3	 12	  0	  0


