2015-05-17	08:00:01+0	44.614827	6.521173	(-)0

Date	Time	TTF	Lat	Long	SAT´s	2D/3D	Alt	H-DOP	Temp	X	Y	
2015-05-10	10:57:00	30	44.9854650	 6.4842067	6	3D	  1538	1.4	 35	  0	  0
2015-05-10	11:12:00		Mortality						 36		
2015-05-10	11:12:00	30	44.9853750	 6.4842183	6	3D	  1527	1.4	 36	  0	  0
2015-05-10	11:27:00		Mortality						 38		
2015-05-10	11:27:00	30	44.9853167	 6.4842133	7	3D	  1518	1.0	 37	  0	  0
2015-05-10	12:00:00	31	44.8066417	 6.5656317	7	3D	  1117	1.1	 31	  0	  2
2015-05-10	18:00:00	42	44.6150750	 6.5211133	7	3D	  1028	1.1	 19	  0	  0
2015-05-10	18:35:00		Mortality						 18		


